date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:54	157/157	---M-Z	200	added ('OK')	text/plain	date:Tue,%2007%20May%202024%2014:50:54%20GMT	https://www.chaiiwala.co.uk/robots.txt		(from )
20:35:55	208753/208753	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20May%202024%2014:50:55%20GMT	https://www.chaiiwala.co.uk/	D:/client-sites/bikash/www.chaiiwala.co.uk/index.html	(from )
20:35:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2007%20May%202024%2014:50:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/client-sites/bikash/www.googletagmanager.com/gtm.05445.delayed	(from https://www.chaiiwala.co.uk/)
20:35:57	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Tue,%2007%20May%202024%2014:50:57%20GMT	https://www.chaiiwala.co.uk/wp-admin/admin-ajax.php	D:/client-sites/bikash/www.chaiiwala.co.uk/wp-admin/admin-ajax.php	(from https://www.chaiiwala.co.uk/)
20:35:58	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2007%20May%202024%2014:50:58%20GMT	https://www.chaiiwala.co.uk/wp-admin/admin-post.php	D:/client-sites/bikash/www.chaiiwala.co.uk/wp-admin/admin-post.php	(from https://www.chaiiwala.co.uk/)
20:35:58	42270/42270	---M-Z	200	added ('OK')	text/css	etag:%22a51e-62b1bc8e-0;gz%22	https://www.chaiiwala.co.uk/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.6.7	D:/client-sites/bikash/www.chaiiwala.co.uk/wp-content/themes/astra/assets/css/minified/main.minf4e1.css	(from https://www.chaiiwala.co.uk/)
20:35:59	53238/53238	---M-Z	200	added ('OK')	text/css	etag:%22cff6-62b1bc8e-0;gz%22	https://www.chaiiwala.co.uk/wp-content/plugins/instagram-feed-pro/css/sbi-styles.min.css?ver=6.0.5	D:/client-sites/bikash/www.chaiiwala.co.uk/wp-content/plugins/instagram-feed-pro/css/sbi-styles.min52c7.css	(from https://www.chaiiwala.co.uk/)
20:35:59	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%22172a9-63d67357-0;gz%22	https://www.chaiiwala.co.uk/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	D:/client-sites/bikash/www.chaiiwala.co.uk/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://www.chaiiwala.co.uk/)
20:35:59	15588/15588	---MC-	200	added ('OK')	application/rss+xml	etag:%2274312808bfa6c24ad58e51f6bfdc87c9%22	https://www.chaiiwala.co.uk/feed/	D:/client-sites/bikash/www.chaiiwala.co.uk/feed/index.html	(from https://www.chaiiwala.co.uk/)
20:36:00	217/217	---M--	200	added ('OK')	text/css	etag:%22d9-63d67357-0;;;%22	https://www.chaiiwala.co.uk/wp-includes/css/classic-themes.min.css?ver=1	D:/client-sites/bikash/www.chaiiwala.co.uk/wp-includes/css/classic-themes.min68b3.css	(from https://www.chaiiwala.co.uk/)
